datamodelKey,s3.folderName,s3.apiPath,s3.collectionName,s3.infoName,s4.apiPath,s4.collectionName,s4.info.singularName,s4.info.pluralName,s4.info.displayName
Address,address,/addresses,addresses,address,/api/addresses,addresses,address,addresses,Address
ArticleType,article-type,/article-types,article_types,ArticleType,/api/article-types,article_types,article-type,article-types,ArticleType
Award,industry-award,/industry-awards,industry_awards,Award,/api/industry-awards,industry_awards,industry-award,industry-awards,Award
Awarding,awarding,/awardings,awardings,Awarding,/api/awardings,awardings,awarding,awardings,Awarding
BannerGroup,banner,/banners,banners,BannerGroup,/api/banners,banners,banner,banners,BannerGroup
BrunoArticle,bruno-article,/bruno-articles,bruno_articles,Bruno_Article,/api/bruno-articles,bruno_articles,bruno-article,bruno-articles,BrunoArticle
BrunoFooter,bruno-footer,/bruno-footers,bruno_footers,Bruno_Footer,/api/bruno-footers,bruno_footers,bruno-footer,bruno-footers,BrunoFooter
BrunoMenu,bruno-menu,/bruno-menus,bruno_menus,Bruno_Menu,/api/bruno-menus,bruno_menus,bruno-menu,bruno-menus,BrunoMenu
BrunoSupporter,bruno-supporter,/bruno-supporters,bruno_supporters,Bruno_Supporter,/api/bruno-supporters,bruno_supporters,bruno-supporter,bruno-supporters,BrunoSupporter
BusinessProfile,business-profile,/business-profiles,business_profiles,BusinessProfile,/api/business-profiles,business_profiles,business-profile,business-profiles,BusinessProfile
Cassette,cassette,/cassettes,cassettes,Cassette,/api/cassettes,cassettes,cassette,cassettes,Cassette
Channel,channel,/channels,channels,Channel,/api/channels,channels,channel,channels,Channel
Cinema,cinema,/cinemas,cinemas,Cinema,/api/cinemas,cinemas,cinema,cinemas,Cinema
Country,country,/countries,countries,Country,/api/countries,countries,country,countries,Country
County,county,/counties,counties,County,/api/counties,counties,county,counties,County
Course,course,/courses,courses,Course,/api/courses,courses,course,courses,Course
CourseEvent,course-event,/course-events,course_events,CourseEvent,/api/course-events,course_events,course-event,course-events,CourseEvent
Delivery,delivery,/deliveries,deliveries,Delivery,/api/deliveries,deliveries,delivery,deliveries,Delivery
DeliveryType,delivery-type,/delivery-types,delivery_types,DeliveryType,/api/delivery-types,delivery_types,delivery-type,delivery-types,DeliveryType
DisCampArticle,dis-camp-article,/dis-camp-articles,dis_camp_articles,DisCampArticle,/api/dis-camp-articles,dis_camp_articles,dis-camp-article,dis-camp-articles,DisCampArticle
DisCampCategory,dis-camp-category,/dis-camp-categories,dis_camp_categories,DisCampCategory,/api/dis-camp-categories,dis_camp_categories,dis-camp-category,dis-camp-categories,DisCampCategory
DisCampEvent,dis-camp-event,/dis-camp-events,dis_camp_events,DisCampEvent,/api/dis-camp-events,dis_camp_events,dis-camp-event,dis-camp-events,DisCampEvent
DisCampFooter,dis-camp-footer,/dis-camp-footers,dis_camp_footers,DisCampFooter,/api/dis-camp-footers,dis_camp_footers,dis-camp-footer,dis-camp-footers,DisCampFooter
DisCampGroup,dis-camp-group,/dis-camp-groups,dis_camp_groups,DisCampGroup,/api/dis-camp-groups,dis_camp_groups,dis-camp-group,dis-camp-groups,DisCampGroup
DisCampMenu,dis-camp-menu,/dis-camp-menus,dis_camp_menus,DisCampMenu,/api/dis-camp-menus,dis_camp_menus,dis-camp-menu,dis-camp-menus,DisCampMenu
DisCampPerson,dis-camp-person,/dis-camp-people,dis_camp_people,DisCampPerson,/api/dis-camp-persons,dis_camp_people,dis-camp-person,dis-camp-persons,DisCampPerson
DisCampPersonType,dis-camp-person-type,/dis-camp-person-types,dis_camp_person_types,DisCampPersonType,/api/dis-camp-person-types,dis_camp_person_types,dis-camp-person-type,dis-camp-person-types,DisCampPersonType
DisCampProject,dis-camp-project,/dis-camp-projects,dis_camp_projects,DisCampProject,/api/dis-camp-projects,dis_camp_projects,dis-camp-project,dis-camp-projects,DisCampProject
DisCampSupporter,dis-camp-supporter,/dis-camp-supporters,dis_camp_supporters,DisCampSupporter,/api/dis-camp-supporters,dis_camp_supporters,dis-camp-supporter,dis-camp-supporters,DisCampSupporter
Domain,domain,/domains,Domeen,Domain,/api/domains,Domeen,domain,domains,Domain
DumbFolder,dumb-folder,/dumb-folders,dumb_folders,DumbFolder,/api/dumb-folders,dumb_folders,dumb-folder,dumb-folders,DumbFolder
Event,event,/events,events,Event,/api/events,events,event,events,Event
EventAccess,event-access,/event-accesses,event_accesses,EventAccess,/api/event-accesses,event_accesses,event-access,event-accesses,EventAccess
EventMode,event-mode,/event-modes,event_modes,EventMode,/api/event-modes,event_modes,event-mode,event-modes,EventMode
EventType,event-type,/event-types,event_types,EventType,/api/event-types,event_types,event-type,event-types,EventType
EyeColour,eye-colour,/eye-colours,eye_colours,EyeColour,/api/eye-colours,eye_colours,eye-colour,eye-colours,EyeColour
Festival,festival,/festivals,FestivalCollectionName,Festival,/api/festivals,FestivalCollectionName,festival,festivals,Festival
FestivalEdition,festival-edition,/festival-editions,Edition,FestivalEdition,/api/festival-editions,Edition,festival-edition,festival-editions,FestivalEdition
Film,film,/films,films,Film,/api/films,films,film,films,Film
FilmikooliArticle,filmikooli-article,/filmikooli-articles,filmikooli_articles,Filmikooli_Article,/api/filmikooli-articles,filmikooli_articles,filmikooli-article,filmikooli-articles,FilmikooliArticle
